,gwnoloc,location,Region,RegionName,RegionSummary,Notes
1,-99750,"Hyderabad, India",3,Asia,Central & South Asia,
2,-99,Hyderabad,3,Asia,Central & South Asia,
3,2,United States of America,5,Americas,Central & South Asia,
4,40,Cuba,5,Americas,Central & South Asia,
5,41,Haiti,5,Americas,Central & South Asia,
6,42,Dominican Republic,5,Americas,Central & South Asia,
7,52,Trinidad and Tobago,5,Americas,Central & South Asia,
8,70,Mexico,5,Americas,Central & South Asia,
9,90,Guatemala,5,Americas,Central & South Asia,
10,92,El Salvador,5,Americas,Central & South Asia,
11,93,Nicaragua,5,Americas,Central & South Asia,
12,94,Costa Rica,5,Americas,Central & South Asia,
13,95,Panama,5,Americas,Central & South Asia,
14,100,Colombia,5,Americas,Central & South Asia,
15,101,Venezuela,5,Americas,Central & South Asia,
16,115,Surinam,5,Americas,Central & South Asia,
17,135,Peru,5,Americas,Central & South Asia,
18,145,Bolivia,5,Americas,Central & South Asia,
19,150,Paraguay,5,Americas,Central & South Asia,
20,155,Chile,5,Americas,Central & South Asia,
21,160,Argentina,5,Americas,Central & South Asia,
22,165,Uruguay,5,Americas,Central & South Asia,
23,200,United Kingdom,1,Europe,Central & South Asia,
24,220,France,1,Europe,Central & South Asia,
25,230,Spain,1,Europe,Central & South Asia,
26,343,Macedonia,1,Europe,Central & South Asia,
27,344,Croatia,1,Europe,Central & South Asia,
28,345,Yugoslavia (Serbia),1,Europe,Central & South Asia,
29,346,Bosnia and Herzegovina,1,Europe,Central & South Asia,
30,350,Greece,1,Europe,Central & South Asia,
31,352,Cyprus,1,Europe,Central & South Asia,
32,359,Moldova,1,Europe,Central & South Asia,
33,360,Rumania,1,Europe,Central & South Asia,
34,365,Russia (Soviet Union),1,Europe,Central & South Asia,
35,372,Georgia,1,Europe,Central & South Asia,
36,373,Azerbaijan,1,Europe,Central & South Asia,
37,404,Guinea-Bissau,4,Africa,Sub-Saharan Africa,
38,411,Equatorial Guinea,4,Africa,Sub-Saharan Africa,
39,420,Gambia,4,Africa,Sub-Saharan Africa,
40,432,Mali,4,Africa,Sub-Saharan Africa,
41,433,Senegal,4,Africa,Sub-Saharan Africa,
42,435,Mauritania,4,Africa,Sub-Saharan Africa,
43,436,Niger,4,Africa,Sub-Saharan Africa,
44,437,Cote D’Ivoire,4,Africa,Sub-Saharan Africa,
45,438,Guinea,4,Africa,Sub-Saharan Africa,
46,439,Burkina Faso,4,Africa,Sub-Saharan Africa,
47,450,Liberia,4,Africa,Sub-Saharan Africa,
48,451,Sierra Leone,4,Africa,Sub-Saharan Africa,
49,452,Ghana,4,Africa,Sub-Saharan Africa,
50,461,Togo,4,Africa,Sub-Saharan Africa,
51,471,Cameroon,4,Africa,Sub-Saharan Africa,
52,475,Nigeria,4,Africa,Sub-Saharan Africa,
53,481,Gabon,4,Africa,Sub-Saharan Africa,
54,482,Central African Republic,4,Africa,Sub-Saharan Africa,
55,483,Chad,4,Africa,Sub-Saharan Africa,
56,484,Congo,4,Africa,Sub-Saharan Africa,
57,490,Democratic Republic of Congo (Zaire),4,Africa,Sub-Saharan Africa,
58,500,Uganda,4,Africa,Sub-Saharan Africa,
59,501,Kenya,4,Africa,Sub-Saharan Africa,
60,516,Burundi,4,Africa,Sub-Saharan Africa,
61,517,Rwanda,4,Africa,Sub-Saharan Africa,
62,520,Somalia,4,Africa,Sub-Saharan Africa,
63,522,Djibouti,4,Africa,Sub-Saharan Africa,
64,530,Ethiopia,4,Africa,Sub-Saharan Africa,
65,531,Eritrea,4,Africa,Sub-Saharan Africa,
66,540,Angola,4,Africa,Sub-Saharan Africa,
67,541,Mozambique,4,Africa,Sub-Saharan Africa,
68,552,"Grenada, United States of America",5,Americas,Rest of World,
69,552,Zimbabwe (Rhodesia),4,Africa,Sub-Saharan Africa,
70,560,South Africa,4,Africa,Sub-Saharan Africa,
71,570,Lesotho,4,Africa,Sub-Saharan Africa,
72,580,Madagascar,4,Africa,Sub-Saharan Africa,
73,581,Comoros,4,Africa,Sub-Saharan Africa,
74,600,Morocco,4,Africa,Middle East & North Africa,
75,615,Algeria,4,Africa,Middle East & North Africa,
76,616,Tunisia,4,Africa,Middle East & North Africa,
77,625,Sudan,4,Africa,Sub-Saharan Africa,
78,630,Iran,2,Middle East,Middle East & North Africa,
79,640,Turkey/Ottoman Empire,2,Middle East,Middle East & North Africa,
80,645,Iraq,2,Middle East,Middle East & North Africa,
81,651,Egypt,2,Middle East,Middle East & North Africa,
82,652,Syria,2,Middle East,Middle East & North Africa,
83,660,Lebanon,2,Middle East,Middle East & North Africa,
84,666,Israel,2,Middle East,Middle East & North Africa,
85,670,Saudi Arabia,2,Middle East,Middle East & North Africa,
86,678,North Yemen,2,Middle East,Middle East & North Africa,
87,678,Yemen,2,Middle East,Middle East & North Africa,
88,680,South Yemen,2,Middle East,Middle East & North Africa,
89,698,Oman,2,Middle East,Middle East & North Africa,
90,700,Afghanistan,3,Asia,Central & South Asia,
91,702,Tajikistan,3,Asia,Central & South Asia,
92,704,Uzbekistan,3,Asia,Central & South Asia,
93,710,China,3,Asia,Rest of World,
94,750,India,3,Asia,Central & South Asia,
95,770,Pakistan,3,Asia,Central & South Asia,
96,771,Bangladesh,3,Asia,Central & South Asia,
97,775,Myanmar,3,Asia,Rest of World,
98,780,Sri Lanka (Ceylon),3,Asia,Central & South Asia,
99,790,Nepal,3,Asia,Central & South Asia,
100,800,Thailand,3,Asia,Rest of World,
101,811,Cambodia,3,Asia,Rest of World,
102,812,Laos,3,Asia,Rest of World,
103,816,Vietnam,3,Asia,Rest of World,
104,817,South Vietnam,3,Asia,Rest of World,
105,820,Malaysia,3,Asia,Rest of World,
106,835,Brunei,3,Asia,Rest of World,
107,840,Philippines,3,Asia,Rest of World,
108,850,Indonesia,3,Asia,Rest of World,
109,910,Papua New Guinea,3,Asia,Rest of World,
110,952,"Panama, United States of America",5,Americas,Rest of World,
111,9193,"Honduras, Nicaragua",5,Americas,Rest of World,
112,9291,"El Salvador, Honduras",5,Americas,Rest of World,
113,130135,"Ecuador, Peru",5,Americas,Rest of World,
114,160200,"Argentina, United Kingdom",1,Europe,Rest of World,
115,220616,"France, Tunisia",4,Africa,Middle East & North Africa,
116,220800,"France, Thailand",3,Asia,Rest of World,
117,310365,"Hungary, Russia (Soviet Union)",1,Europe,Rest of World,
118,339200,"Albania, United Kingdom",1,Europe,Rest of World,
119,352640,"Cyprus, Turkey/Ottoman Empire",2,Middle East,Rest of World,
120,439432,"Burkina Faso, Mali",4,Africa,Sub-Saharan Africa,
121,471475,"Cameroon, Nigeria",4,Africa,Sub-Saharan Africa,
122,483475,"Chad, Nigeria",4,Africa,Sub-Saharan Africa,
123,483620,"Chad, Libya",4,Africa,Sub-Saharan Africa,https://en.wikipedia.org/wiki/Chadian%E2%80%93Libyan_conflict
124,510500,"Tanzania, Uganda",4,Africa,Sub-Saharan Africa,
