country,country_txt,Region,region_txt,RegionSummary,RegionRemix,RegionSplit
25,Bhutan,6,South Asia,Central & South Asia,Middle East & Central/South Asia,Rest of World
92,India,6,South Asia,Central & South Asia,Middle East & Central/South Asia,Rest of World
122,Maldives,6,South Asia,Central & South Asia,Middle East & Central/South Asia,Rest of World
129,Mauritius,6,South Asia,Central & South Asia,Middle East & Central/South Asia,Rest of World
141,Nepal,6,South Asia,Central & South Asia,Middle East & Central/South Asia,Rest of World
153,Pakistan,6,South Asia,Central & South Asia,Middle East & Central/South Asia,Rest of World
186,Sri Lanka,6,South Asia,Central & South Asia,Middle East & Central/South Asia,Rest of World
12,Armenia,7,Central Asia,Central & South Asia,Middle East & Central/South Asia,Rest of World
16,Azerbaijan,7,Central Asia,Central & South Asia,Middle East & Central/South Asia,Rest of World
74,Georgia,7,Central Asia,Central & South Asia,Middle East & Central/South Asia,Rest of World
103,Kazakhstan,7,Central Asia,Central & South Asia,Middle East & Central/South Asia,Rest of World
107,Kyrgyzstan,7,Central Asia,Central & South Asia,Middle East & Central/South Asia,Rest of World
202,Tajikistan,7,Central Asia,Central & South Asia,Middle East & Central/South Asia,Rest of World
210,Turkmenistan,7,Central Asia,Central & South Asia,Middle East & Central/South Asia,Rest of World
219,Uzbekistan,7,Central Asia,Central & South Asia,Middle East & Central/South Asia,Rest of World
7,Andorra,8,Western Europe,Rest of World,Rest of World,Rest of World
15,Austria,8,Western Europe,Rest of World,Rest of World,Rest of World
21,Belgium,8,Western Europe,Rest of World,Rest of World,Rest of World
53,Cyprus,8,Western Europe,Rest of World,Rest of World,Rest of World
55,Denmark,8,Western Europe,Rest of World,Rest of World,Rest of World
68,Finland,8,Western Europe,Rest of World,Rest of World,Rest of World
69,France,8,Western Europe,Rest of World,Rest of World,Rest of World
75,Germany,8,Western Europe,Rest of World,Rest of World,Rest of World
77,Gibraltar,8,Western Europe,Rest of World,Rest of World,Rest of World
78,Greece,8,Western Europe,Rest of World,Rest of World,Rest of World
91,Iceland,8,Western Europe,Rest of World,Rest of World,Rest of World
96,Ireland,8,Western Europe,Rest of World,Rest of World,Rest of World
98,Italy,8,Western Europe,Rest of World,Rest of World,Rest of World
116,Luxembourg,8,Western Europe,Rest of World,Rest of World,Rest of World
124,Malta,8,Western Europe,Rest of World,Rest of World,Rest of World
142,Netherlands,8,Western Europe,Rest of World,Rest of World,Rest of World
151,Norway,8,Western Europe,Rest of World,Rest of World,Rest of World
162,Portugal,8,Western Europe,Rest of World,Rest of World,Rest of World
185,Spain,8,Western Europe,Rest of World,Rest of World,Rest of World
198,Sweden,8,Western Europe,Rest of World,Rest of World,Rest of World
199,Switzerland,8,Western Europe,Rest of World,Rest of World,Rest of World
221,Vatican City,8,Western Europe,Rest of World,Rest of World,Rest of World
362,West Germany (FRG),8,Western Europe,Rest of World,Rest of World,Rest of World
603,United Kingdom,8,Western Europe,Rest of World,Rest of World,Rest of World
5,Albania,9,Eastern Europe,Rest of World,Rest of World,Rest of World
28,Bosnia-Herzegovina,9,Eastern Europe,Rest of World,Rest of World,Rest of World
32,Bulgaria,9,Eastern Europe,Rest of World,Rest of World,Rest of World
35,Belarus,9,Eastern Europe,Rest of World,Rest of World,Rest of World
50,Croatia,9,Eastern Europe,Rest of World,Rest of World,Rest of World
54,Czech Republic,9,Eastern Europe,Rest of World,Rest of World,Rest of World
64,Estonia,9,Eastern Europe,Rest of World,Rest of World,Rest of World
90,Hungary,9,Eastern Europe,Rest of World,Rest of World,Rest of World
109,Latvia,9,Eastern Europe,Rest of World,Rest of World,Rest of World
115,Lithuania,9,Eastern Europe,Rest of World,Rest of World,Rest of World
118,Macedonia,9,Eastern Europe,Rest of World,Rest of World,Rest of World
132,Moldova,9,Eastern Europe,Rest of World,Rest of World,Rest of World
161,Poland,9,Eastern Europe,Rest of World,Rest of World,Rest of World
166,Romania,9,Eastern Europe,Rest of World,Rest of World,Rest of World
167,Russia,9,Eastern Europe,Rest of World,Rest of World,Rest of World
175,Serbia-Montenegro,9,Eastern Europe,Rest of World,Rest of World,Rest of World
179,Slovak Republic,9,Eastern Europe,Rest of World,Rest of World,Rest of World
180,Slovenia,9,Eastern Europe,Rest of World,Rest of World,Rest of World
214,Ukraine,9,Eastern Europe,Rest of World,Rest of World,Rest of World
235,Yugoslavia,9,Eastern Europe,Rest of World,Rest of World,Rest of World
236,Czechoslovakia,9,Eastern Europe,Rest of World,Rest of World,Rest of World
359,Soviet Union,9,Eastern Europe,Rest of World,Rest of World,Rest of World
499,East Germany (GDR),9,Eastern Europe,Rest of World,Rest of World,Rest of World
1001,Serbia,9,Eastern Europe,Rest of World,Rest of World,Rest of World
1002,Montenegro,9,Eastern Europe,Rest of World,Rest of World,Rest of World
1003,Kosovo,9,Eastern Europe,Rest of World,Rest of World,Rest of World
6,Algeria,10,Middle East & North Africa,Middle East & North Africa,Africa,Middle East & Africa
18,Bahrain,10,Middle East & North Africa,Middle East & North Africa,Middle East & Central/South Asia,Middle East & Africa
60,Egypt,10,Middle East & North Africa,Middle East & North Africa,Africa,Middle East & Africa
94,Iran,10,Middle East & North Africa,Middle East & North Africa,Middle East & Central/South Asia,Middle East & Africa
95,Iraq,10,Middle East & North Africa,Middle East & North Africa,Middle East & Central/South Asia,Middle East & Africa
97,Israel,10,Middle East & North Africa,Middle East & North Africa,Middle East & Central/South Asia,Middle East & Africa
102,Jordan,10,Middle East & North Africa,Middle East & North Africa,Middle East & Central/South Asia,Middle East & Africa
106,Kuwait,10,Middle East & North Africa,Middle East & North Africa,Middle East & Central/South Asia,Middle East & Africa
110,Lebanon,10,Middle East & North Africa,Middle East & North Africa,Middle East & Central/South Asia,Middle East & Africa
113,Libya,10,Middle East & North Africa,Middle East & North Africa,Africa,Middle East & Africa
136,Morocco,10,Middle East & North Africa,Middle East & North Africa,Africa,Middle East & Africa
155,West Bank and Gaza Strip,10,Middle East & North Africa,Middle East & North Africa,Middle East & Central/South Asia,Middle East & Africa
164,Qatar,10,Middle East & North Africa,Middle East & North Africa,Middle East & Central/South Asia,Middle East & Africa
173,Saudi Arabia,10,Middle East & North Africa,Middle East & North Africa,Middle East & Central/South Asia,Middle East & Africa
200,Syria,10,Middle East & North Africa,Middle East & North Africa,Middle East & Central/South Asia,Middle East & Africa
208,Tunisia,10,Middle East & North Africa,Middle East & North Africa,Africa,Middle East & Africa
209,Turkey,10,Middle East & North Africa,Middle East & North Africa,Middle East & Central/South Asia,Middle East & Africa
215,United Arab Emirates,10,Middle East & North Africa,Middle East & North Africa,Middle East & Central/South Asia,Middle East & Africa
228,Yemen,10,Middle East & North Africa,Middle East & North Africa,Middle East & Central/South Asia,Middle East & Africa
349,Western Sahara,10,Middle East & North Africa,Middle East & North Africa,Africa,Middle East & Africa
377,North Yemen,10,Middle East & North Africa,Middle East & North Africa,Middle East & Central/South Asia,Middle East & Africa
406,South Yemen,10,Middle East & North Africa,Middle East & North Africa,Middle East & Central/South Asia,Middle East & Africa
422,International,10,Middle East & North Africa,Middle East & North Africa,Middle East & Central/South Asia,Middle East & Africa
8,Angola,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
23,Benin,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
29,Botswana,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
33,Burkina Faso,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
34,Burundi,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
37,Cameroon,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
41,Central African Republic,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
42,Chad,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
46,Comoros,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
47,Republic of the Congo,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
56,Djibouti,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
62,Equatorial Guinea,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
63,Eritrea,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
65,Ethiopia,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
72,Gabon,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
73,Gambia,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
76,Ghana,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
84,Guinea,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
85,Guinea-Bissau,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
99,Ivory Coast,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
104,Kenya,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
111,Lesotho,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
112,Liberia,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
119,Madagascar,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
120,Malawi,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
123,Mali,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
128,Mauritania,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
137,Mozambique,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
139,Namibia,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
146,Niger,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
147,Nigeria,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
168,Rwanda,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
174,Senegal,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
176,Seychelles,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
177,Sierra Leone,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
182,Somalia,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
183,South Africa,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
195,Sudan,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
197,Swaziland,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
203,Tanzania,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
204,Togo,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
213,Uganda,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
229,Democratic Republic of the Congo,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
230,Zambia,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
231,Zimbabwe,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
403,Rhodesia,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
604,Zaire,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
605,People's Republic of the Congo,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
1004,South Sudan,11,Sub-Saharan Africa,Sub-Saharan Africa,Africa,Middle East & Africa
14,Australia,12,Australasia & Oceania,Rest of World,Rest of World,Rest of World
67,Fiji,12,Australasia & Oceania,Rest of World,Rest of World,Rest of World
71,French Polynesia,12,Australasia & Oceania,Rest of World,Rest of World,Rest of World
143,New Caledonia,12,Australasia & Oceania,Rest of World,Rest of World,Rest of World
144,New Zealand,12,Australasia & Oceania,Rest of World,Rest of World,Rest of World
157,Papua New Guinea,12,Australasia & Oceania,Rest of World,Rest of World,Rest of World
181,Solomon Islands,12,Australasia & Oceania,Rest of World,Rest of World,Rest of World
220,Vanuatu,12,Australasia & Oceania,Rest of World,Rest of World,Rest of World
226,Wallis and Futuna,12,Australasia & Oceania,Rest of World,Rest of World,Rest of World
532,New Hebrides,12,Australasia & Oceania,Rest of World,Rest of World,Rest of World
