country,country_txt,Region,region_txt,RegionSummary,RegionRemix,RegionSplit
38,Canada,1,North America,Rest of World,Rest of World,Rest of World
130,Mexico,1,North America,Rest of World,Rest of World,Rest of World
217,United States,1,North America,Rest of World,Rest of World,Rest of World
10,Antigua and Barbuda,2,Central America & Caribbean,Rest of World,Rest of World,Rest of World
17,Bahamas,2,Central America & Caribbean,Rest of World,Rest of World,Rest of World
20,Barbados,2,Central America & Caribbean,Rest of World,Rest of World,Rest of World
22,Belize,2,Central America & Caribbean,Rest of World,Rest of World,Rest of World
40,Cayman Islands,2,Central America & Caribbean,Rest of World,Rest of World,Rest of World
49,Costa Rica,2,Central America & Caribbean,Rest of World,Rest of World,Rest of World
51,Cuba,2,Central America & Caribbean,Rest of World,Rest of World,Rest of World
57,Dominica,2,Central America & Caribbean,Rest of World,Rest of World,Rest of World
58,Dominican Republic,2,Central America & Caribbean,Rest of World,Rest of World,Rest of World
61,El Salvador,2,Central America & Caribbean,Rest of World,Rest of World,Rest of World
80,Grenada,2,Central America & Caribbean,Rest of World,Rest of World,Rest of World
81,Guadeloupe,2,Central America & Caribbean,Rest of World,Rest of World,Rest of World
83,Guatemala,2,Central America & Caribbean,Rest of World,Rest of World,Rest of World
87,Haiti,2,Central America & Caribbean,Rest of World,Rest of World,Rest of World
88,Honduras,2,Central America & Caribbean,Rest of World,Rest of World,Rest of World
100,Jamaica,2,Central America & Caribbean,Rest of World,Rest of World,Rest of World
127,Martinique,2,Central America & Caribbean,Rest of World,Rest of World,Rest of World
145,Nicaragua,2,Central America & Caribbean,Rest of World,Rest of World,Rest of World
156,Panama,2,Central America & Caribbean,Rest of World,Rest of World,Rest of World
189,St. Kitts and Nevis,2,Central America & Caribbean,Rest of World,Rest of World,Rest of World
190,St. Lucia,2,Central America & Caribbean,Rest of World,Rest of World,Rest of World
207,Trinidad and Tobago,2,Central America & Caribbean,Rest of World,Rest of World,Rest of World
11,Argentina,3,South America,Rest of World,Rest of World,Rest of World
26,Bolivia,3,South America,Rest of World,Rest of World,Rest of World
30,Brazil,3,South America,Rest of World,Rest of World,Rest of World
43,Chile,3,South America,Rest of World,Rest of World,Rest of World
45,Colombia,3,South America,Rest of World,Rest of World,Rest of World
59,Ecuador,3,South America,Rest of World,Rest of World,Rest of World
66,Falkland Islands,3,South America,Rest of World,Rest of World,Rest of World
70,French Guiana,3,South America,Rest of World,Rest of World,Rest of World
86,Guyana,3,South America,Rest of World,Rest of World,Rest of World
158,Paraguay,3,South America,Rest of World,Rest of World,Rest of World
159,Peru,3,South America,Rest of World,Rest of World,Rest of World
196,Suriname,3,South America,Rest of World,Rest of World,Rest of World
218,Uruguay,3,South America,Rest of World,Rest of World,Rest of World
222,Venezuela,3,South America,Rest of World,Rest of World,Rest of World
44,China,4,East Asia,Rest of World,Rest of World,Rest of World
89,Hong Kong,4,East Asia,Rest of World,Rest of World,Rest of World
101,Japan,4,East Asia,Rest of World,Rest of World,Rest of World
117,Macau,4,East Asia,Rest of World,Rest of World,Rest of World
149,North Korea,4,East Asia,Rest of World,Rest of World,Rest of World
184,South Korea,4,East Asia,Rest of World,Rest of World,Rest of World
201,Taiwan,4,East Asia,Rest of World,Rest of World,Rest of World
31,Brunei,5,Southeast Asia,Rest of World,Rest of World,Rest of World
36,Cambodia,5,Southeast Asia,Rest of World,Rest of World,Rest of World
93,Indonesia,5,Southeast Asia,Rest of World,Rest of World,Rest of World
108,Laos,5,Southeast Asia,Rest of World,Rest of World,Rest of World
121,Malaysia,5,Southeast Asia,Rest of World,Rest of World,Rest of World
138,Myanmar,5,Southeast Asia,Rest of World,Rest of World,Rest of World
160,Philippines,5,Southeast Asia,Rest of World,Rest of World,Rest of World
178,Singapore,5,Southeast Asia,Rest of World,Rest of World,Rest of World
205,Thailand,5,Southeast Asia,Rest of World,Rest of World,Rest of World
223,Vietnam,5,Southeast Asia,Rest of World,Rest of World,Rest of World
347,East Timor,5,Southeast Asia,Rest of World,Rest of World,Rest of World
428,South Vietnam,5,Southeast Asia,Rest of World,Rest of World,Rest of World
4,Afghanistan,6,South Asia,Central & South Asia,Middle East & Central/South Asia,Rest of World
19,Bangladesh,6,South Asia,Central & South Asia,Middle East & Central/South Asia,Rest of World
